Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,County,Op Status,Sponsor,Affiliate,Web links,Coordination,Last update,Downlink Tone,Coverage,Links,Notes,Nets,Talkgroups,Colorado,Northern Colorado,Features,On-air,Denver Regional,EchoLink,IRLP,Commands,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Grid,WIRES-X,D-STAR Enabled,Node,Sources,P25 Digital Enabled,NAC,Default Reflector,Feed,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,Local Network,Southern Colorado,Wyoming,WyLOCAL,Location Photo,Kansas,Local or Reflector,CKRG,KansasLink,Bandwidth
448.175,-5,CC7,W0FT,Akron,CO,OPEN,,0,ESE,yes,448.175,443.175,,yes,7,,Morgan,On-Air,W0FT,Rocky Mountain Ham Radio,http://www.rmham.org/,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,0,E,yes,145.4,144.8,88.5,,,,Washington,On-Air,Colorado Connection,,,CCARC,yes,123,Northeastern plains of Colorado.,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC7,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,31.5,WNW,yes,448.2,443.2,,yes,7,,Morgan,On-Air,,NEAHR,Rocky Mountain Ham Radio,CCARC,yes,,,Full-time to the  Colorado TRBO System .,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Mixed Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,,WA0JTB,"Sterling, CO",CO,OPEN,,32.1,N,yes,145.295,144.695,,,,,Logan,On-Air,NECARA,,,CCARC,yes,,Wide area,,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,56.3,E,yes,146.955,146.355,,,,,Phillips,,PCARC,,,CCARC,yes,,,,,,,,,E-power.,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC8,K0RTS,"Genoa, Limon",CO,OPEN,,62.8,SSW,yes,446.7375,441.7375,,yes,8,,Lincoln,On-Air,K0RTS KC0VJD,RMHam,,CCARC,yes,,"I-70  H-40  H-287  Arriba, Genoa, Hugo, Limon        50 mile radius",,"Colorado on TG700 Slot 1
Denver on TG720 Slot 2",,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,62.9,SSW,yes,449.25,444.25,123,,,,Elbert,On-Air,K0UPS Club c/o N1UPS,,,CCARC,yes,123,"I-70 Limon, Co area.",,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,,,,Full duplex node.,,,3349,3349,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,EIA,63.3,SSW,yes,147.06,147.66,103.5,,,,Lincoln,On-Air,BSARC,,http://www.bigsandyradio.com/,CCARC,yes,,"I-70, US-71, US-287, US-40, US-24",,,Big Sandy Net: Wed 19:00,,,,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",,,791116,3794,,yes,Open ↑ / Open ↓,Yes; analog capable.,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,67.5,SSE,yes,146.895,146.295,103.5,,,,Kit Carson,On-Air,Big Sandy ARC,,,CCARC,yes,,,,,,,,,,,,830619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,76.1,W,yes,449.925,444.925,114.8,,,,Weld,On-Air,KD0RG,K0UPS Club,,CCARC,yes,114.8,,,,,,,,,,,448035,,,,,,,DN70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,77.7,S,yes,447,442,103.5,,,,Lincoln,On-Air,Delbert Noakes (KC0VJD),,,,yes,,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",,,,,,,APRS repeater &amp; I-Gate / Weather station,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,DM89gb,30534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,79.6,SW,yes,147.105,147.705,107.2,,,,Elbert,On-Air,ARES of Douglas and Elbert Counties,Colorado Repeater Association,http://www.w0cra.org/,CCARC,yes,107.2,"I-70, E. Arapahoe, Elbert, Lincoln Counties","Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,Linked to CRA 447.150 - Conifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,80.1,WNW,yes,146.85,146.25,100,,,,Weld,On-Air,Northern Colorado ARC,,,CCARC,yes,100,,,,,,,,"E-power, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,80.1,W,yes,447.625,442.625,100,,,,Adams,On-Air,Intermountain Repeater Group,,Intermountain Repeater Group,,yes,,Local/North Metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,80.2,WNW,yes,449.725,444.725,127.3,,,,Weld,On-Air,K0OJ,,,CCARC,yes,,,,,,,,,"Autopatch, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,80.8,WNW,yes,448.475,443.475,100,,,,Weld,On-Air,Weld Amateur Radio Society (WARS),,http://www.warsco.org/,CCARC,yes,,,,,,,,,,,,,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,Greeley,CO,OPEN,I,80.8,WNW,yes,147,147.6,100,,,,Weld,On-Air,Weld ARS,,,CCARC,yes,100,,,,,,,,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",,,,3839,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,80.8,WNW,yes,449.325,444.325,,,,,Weld,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,83.7,WSW,yes,927.8375,902.025,,,,,Douglas,On-Air,,,,CCARC,yes,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,83.7,W,yes,447.3,442.3,107.2,,,,Weld,On-Air,,,,CCARC,yes,,,,,,,,,,,,405804,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,84.6,W,yes,224.96,223.36,CSQ,,,,Weld,On-Air,AC0KC,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,85,WSW,yes,448.15,443.15,141.3,,,,Denver,On-Air,K0GUR,,k0jsc.com,CCARC,yes,141.3,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",Full-time to the  The Fun Machine System .,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,E-power (batt).  2 meter and 70cm channel steerable remote bases.,,,24340,,,,,,29436,DM79pt,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,88.7,WSW,yes,449.425,444.425,D023,,,,Arapahoe,Off-Air,K0PWO,,,,yes,D023,,,Colorado SNP (Shared non-protected pair),,,,,,,,,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,89.5,WSW,yes,145.4,144.6,100,,,,Arapahoe,On-Air,Castle Rock Repeater Group,,,CCARC,yes,,Greater Denver area.,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,89.7,WSW,yes,145.19,144.59,151.4,,,,Arapahoe,On-Air,N0OBA,,,,yes,131.8,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,Autopatch (please contact trustee).,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,90.4,WSW,yes,449.15,444.15,,,,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,90.7,WSW,yes,448.5,443.5,100,,,,Denver,On-Air,Castle Rock Repeater Group,,,CCARC,yes,,Greater Denver area.,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,90.7,WSW,yes,448.825,443.825,,,,,Arapahoe,On-Air,,,,,yes,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,90.7,WSW,yes,448.275,443.275,156.7,,,,Arapahoe,On-Air,W0BG,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,90.7,WSW,yes,448.4,443.4,94.8,,,,Arapahoe,On-Air,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,WB7GR,"Cheyenne, Chalk Bluffs",WY,OPEN,,91.7,NW,yes,449.3,444.3,,,,,Laramie,On-Air,WU7G,,,,yes,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,93.1,WSW,yes,445.075,440.075,,yes,1,,Douglas,On-Air,Parker Radio Association,,http://www.parkerradio.org,CCARC,yes,,,,Mixed Mode,Mondays 20:30 MST,,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,93.6,WSW,yes,448.7,443.7,146.2,,,,Douglas,On-Air,,,,,yes,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,93.7,WNW,yes,447.2,442.2,82.5,,,,Weld,On-Air,N6RFI,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,93.9,SW,yes,446.85,441.85,,,,,Douglas,On-Air,Parker Radio Association,,http://parkerradio.org,CCARC,yes,,,,,,,,,D-Star B module,,,,,,,,,,,,yes,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,94,SSW,yes,449.9,444.9,107.2,,,,Lincoln,On-Air,,BSAR,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,94.9,WNW,yes,147.39,147.99,,yes,2,,Larimer,On-Air,KT0L - NoCo C-Bridge Network,,Documentation,CCARC,yes,,"Fort Collins east side, into Red Feather Lakes area.",,,Tac 310 Net: Sun at 18:00.,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,94.9,WNW,yes,446.775,441.775,,yes,2,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,Brandmeister Network,W0DMR,CCARC,yes,,"Fort Collins east side, into Red Feather Lakes area.",,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,,,,,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,,1,2,,2,BrandMeister US,1,1,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,95.5,WNW,yes,448.025,443.025,100,,,,Larimer,On-Air,Northern Colorado ARC,,,CCARC,yes,100,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,95.7,W,yes,147.045,147.645,123,,,,Adams,On-Air,Northglenn RA,,,CCARC,yes,CSQ,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-0.6,103.5,N0NEB,Harrisburg,NE,OPEN,,96.1,NNW,yes,147,146.4,103.5,,,,Banner,On-Air,Tri-City Radio Amateur Club,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,97.6,WSW,yes,447.525,442.525,203.5,,,,Douglas,On-Air,EmComm Colorado,Colorado ARES,,CCARC,yes,146.2,"Denver metropolitan area, front range foothills",,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,98,WSW,yes,447.175,442.175,100,,,,Denver,On-Air,W0JRL,,,CCARC,yes,100,,,,,,,,,,,201712,,Standard AllStar Link access commands.,,,,29997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,98.1,WSW,yes,146.715,146.115,123,,,,Denver,On-Air,EARS,,,CCARC,yes,123,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,98.1,WSW,yes,448.075,443.075,123,,,,Denver,On-Air,W0IG,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,98.1,WSW,yes,145.475,144.875,100,,,,Jefferson,On-Air,Intermountain Repeater Group,,Intermountain Repeater Group,CCARC,yes,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,98.1,WSW,yes,448.55,443.55,82.5,,,,Denver,Off-Air,HPRA,,,CCARC,yes,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,98.2,WSW,yes,447.9,442.9,CSQ,,,,Denver,Off-Air,WB0TPT,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
