Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsRxCode,DtcsPolarity,Mode,TStep,Comment
57, 447.35,447.35,-,5,Tone,107.2,88.5,23,23,NN,FM,5," 447.35 CO Delta Cedaredge, Grand Mesa"
58,AD7ZW 147.28,147.28,+,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,AD7ZW 147.28 UT Duchesne Altamont
59,K0CL 146.67,146.67,-,0.6,Tone,107.2,88.5,23,23,NN,FM,5,K0CL 146.67 CO Pitkin Snowmass Village
60,K0ELK 449.725,449.725,-,5,Tone,179.9,88.5,23,23,NN,FM,5,"K0ELK 449.725 CO Garfield Carbondale, Four Mile Ridge"
61,K0EP 146.67,146.67,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"K0EP 146.67 CO La Plata Durango, Eagle Pass"
62,K0EP 146.7,146.7,-,0.6,TSQL,100,100,23,23,NN,FM,5,"K0EP 146.7 CO La Plata Durango, Missionary Ridge"
63,K0SNO 147.39,147.39,+,0.6,Tone,107.2,88.5,23,23,NN,FM,5,"K0SNO 147.39 CO Garfield Carbondale, Four Mile Ridge"
64,K0SSI 147.105,147.105,+,0.6,,88.5,88.5,23,23,NN,FM,5,K0SSI 147.105 CO Mesa Grand Junction
65,K0VQ 447.15,447.15,-,5,Tone,136.5,88.5,23,23,NN,FM,5,"K0VQ 447.15 CO Garfield Carbondale, Missouri Heights"
66,K7DSN 447.4,447.4,-,5,Tone,100,88.5,23,23,NN,FM,5,"K7DSN 447.4 UT Utah Spanish Fork,  Teat Mountain"
67,K7GX 147.2,147.2,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"K7GX 147.2 UT Carbon Price, Wood Hill"
68,K7GX 448.3,448.3,-,5,,88.5,88.5,23,23,NN,FM,5,"K7GX 448.3 UT Carbon Price, Wood Hill"
69,K7HEN 145.49,145.49,-,0.6,Tone,136.5,88.5,23,23,NN,FM,5,"K7HEN 145.49 UT Uintah Vernal, Grizzly Ridge"
70,K7JL 145.27,145.27,-,0.6,Tone,103.5,88.5,23,23,NN,FM,5,"K7JL 145.27 UT Juab Levan, Levan Peak"
71,K7JL 145.27,145.27,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"K7JL 145.27 UT Salt Lake Brighton, Scotts Peak"
72,K7JL 147.18,147.18,+,0.6,Tone,100,88.5,23,23,NN,FM,5,"K7JL 147.18 UT Utah Snowbird, Hidden Peak"
73,K7JL 449.525,449.525,-,5,TSQL,131.8,131.8,23,23,NN,FM,5,"K7JL 449.525 UT Salt Lake Brighton, Scott's Peak"
74,K7QEQ 146.76,146.76,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"K7QEQ 146.76 UT Grand Moab, Bald Mesa"
75,K7QEQ 146.9,146.9,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,K7QEQ 146.9 UT Grand Moab
76,K7QEQ 447.1,447.1,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,"K7QEQ 447.1 UT San Juan Monticello, Abajo Peak"
77,K7QEQ 449.1,449.1,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,"K7QEQ 449.1 UT Grand Moab, Bald Mesa"
78,K7SDC 145.31,145.31,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"K7SDC 145.31 UT Carbon Scofield, Ford Ridge"
79,K7SDC 146.61,146.61,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"K7SDC 146.61 UT San Juan Monticello, Abajo Peak"
80,K7SDC 147.06,147.06,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"K7SDC 147.06 UT Emery Castle Dale, Horn Mountain"
81,K7SDC 147.08,147.08,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"K7SDC 147.08 UT Carbon Scofield, Boardinghouse Ridge"
82,K7SDC 147.08,147.08,+,0.6,Tone,136.5,88.5,23,23,NN,FM,5,"K7SDC 147.08 UT Wayne Hanksville, Ellen Peak"
83,K7SDC 147.14,147.14,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"K7SDC 147.14 UT Emery Castle Dale, Cedar Mountain"
84,K7SDC 147.32,147.32,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"K7SDC 147.32 UT Carbon Sunnyside, Bruin Point"
85,K7SDC 448.55,448.55,-,5,Tone,88.5,88.5,23,23,NN,FM,5,"K7SDC 448.55 UT Emery Castle Dale, Cedar Mountain"
86,K7SDC 449.05,449.05,-,5,Tone,88.5,88.5,23,23,NN,FM,5,"K7SDC 449.05 UT Carbon Sunnyside, Bruin Point"
87,K7UCS 145.23,145.23,-,0.6,Tone,131.8,88.5,23,23,NN,FM,5,"K7UCS 145.23 UT Utah Provo, Lake Mountain"
88,K7UCS 147.28,147.28,+,0.6,Tone,141.3,88.5,23,23,NN,FM,5,"K7UCS 147.28 UT Utah Provo, Lake Mountain"
89,K7UCS 147.34,147.34,+,0.6,Tone,100,88.5,23,23,NN,FM,5,"K7UCS 147.34 UT Utah Goshen, West Mountain"
90,K7UCS 449.975,449.975,-,5,Tone,131.8,88.5,23,23,NN,FM,5,"K7UCS 449.975 UT Utah Provo, Lake Mountain"
91,K7UVA 145.25,145.25,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"K7UVA 145.25 UT Utah Provo, Sundance"
92,K7UVA 146.78,146.78,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"K7UVA 146.78 UT Utah Orem, Lake Mountain"
93,K7UVA 224.56,224.56,-,1.6,Tone,100,88.5,23,23,NN,FM,5,"K7UVA 224.56 UT Utah Orem, Lake Mountain"
94,K7UVA 448.2,448.2,-,5,Tone,100,88.5,23,23,NN,FM,5,"K7UVA 448.2 UT Utah Orem, Lake Mountain"
95,K7YI 447.625,447.625,-,5,Tone,100,88.5,23,23,NN,FM,5,"K7YI 447.625 UT Emery Castle Dale, Horn Mountain"
96,K8BKT 449.775,449.775,-,5,,88.5,88.5,23,23,NN,FM,5,K8BKT 449.775 UT Utah Pleasant Grove
97,KA7EGC 449.175,449.175,-,5,Tone,131.8,88.5,23,23,NN,FM,5,"KA7EGC 449.175 UT Utah American Fork, Utah Lake"
98,KB0SW 447,447,-,5,Tone,107.2,88.5,23,23,NN,FM,5,"KB0SW 447 CO Garfield Loma, Baxter Pass"
99,KB0VIU 145.37,145.37,-,0.6,TSQL,100,100,23,23,NN,FM,5,KB0VIU 145.37 CO La Plata Hesperus
100,KB0VJJ 145.355,145.355,-,0.6,Cross,88.5,123,23,23,NN,FM,5,"KB0VJJ 145.355 CO Mesa Grand Junction, Grand Mesa"
101,KB0VJJ 146.85,146.85,-,0.6,Cross,88.5,123,23,23,NN,FM,5,"KB0VJJ 146.85 CO Garfield Glenwood Springs, Sunlight Peak"
102,KB0VJJ 147.355,147.355,-,0.6,Cross,88.5,123,23,23,NN,FM,5,"KB0VJJ 147.355 CO Mesa Grand Junction, Grand Mesa"
103,KB0YNA 448.65,448.65,-,5,TSQL,88.5,151.4,23,23,NN,FM,5,"KB0YNA 448.65 CO Montrose Montrose, Waterdog Peak"
104,KB0YNA 449.4,449.4,-,5,TSQL,131.8,131.8,23,23,NN,FM,5,"KB0YNA 449.4 CO Mesa Delta, Uncompahgre Butte"
105,KB0YNA 449.65,449.65,-,5,TSQL,151.4,151.4,23,23,NN,FM,5,"KB0YNA 449.65 CO Mesa Grand Junction, Grand Mesa"
106,KB0YNA 449.7,449.7,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,"KB0YNA 449.7 CO San Miguel Telluride, Gray Head"
107,KB5ITS 145.19,145.19,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"KB5ITS 145.19 CO Montezuma Dolores, Summit Ridge"
108,KB5ITS 145.325,145.325,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"KB5ITS 145.325 CO Montezuma Mancos, Menefee Mountain"
109,KB5ITS 145.325,145.325,-,0.6,Tone,127.3,88.5,23,23,NN,FM,5,"KB5ITS 145.325 CO San Juan Silverton, Buffalo Boy"
110,KB5ITS 147.135,147.135,-,0.6,Tone,123,88.5,23,23,NN,FM,5,"KB5ITS 147.135 CO Hinsdale Lake City, Hill 71"
111,KB5ITS 147.27,147.27,+,0.6,Tone,127.3,88.5,23,23,NN,FM,5,"KB5ITS 147.27 CO Ouray Ouray, Engineer Mountain"
