Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Coordination,Last update,Coverage,Features,Links,EchoLink,IRLP,Web links,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Notes,Nets,AllStar,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Commands,Affiliate,YSF Digital Enabled,DG-ID,Grid,Feed,WIRES-X
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,0.3,SE,,447.925,442.925,100,100,Denver,On-Air,RADOPS El Jebel Shriners,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,0.3,ESE,,448.075,443.075,123,,Denver,On-Air,W0IG,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,0.3,SE,,449.65,444.65,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,0.3,ESE,,448.55,443.55,82.5,,Denver,Off-Air,HPRA,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,0.3,ESE,,145.475,144.875,100,,Jefferson,On-Air,Intermountain Repeater Group,CCARC,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",E-power.,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,0.3,SE,,447.9,442.9,CSQ,,Denver,Off-Air,WB0TPT,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,0.3,SE,,449.675,444.675,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,,,,,,7708,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,0.3,ESE,,146.715,146.115,123,123,Denver,On-Air,EARS,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,1.1,N,,447.175,442.175,100,100,Denver,On-Air,W0JRL,CCARC,,,,,201712,,,,,,,,,29997,,,,,,,Standard AllStar Link access commands.,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,7.1,W,,147.21,147.81,100,100,Jefferson,On-Air,Denver Water Amateur Radio Club,,,,,,,,,,,,Yes; analog capable.,,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,,,,,,,,,,,23,,,
