Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance
0,W0MOG,224.72,-,1.6,TSQL,103.5,103.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | w0mog | 2017-04-07,4.2
1,AA0L,147.135,+,0.6,Tone,100,88.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | AA0L | CCARC | 2016-04-08,8.3
2,W0MOG,147.39,+,0.6,Tone,103.5,88.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | W0MOG | CCARC | 2016-08-10,8.6
3,,147.27,+,0.6,,88.5,88.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | TRA | 2016-08-10,8.6
4,K0IRP,146.91,-,0.6,TSQL,151.4,151.4,23,23,NN,FM,5,El Paso | OPEN | On-Air | GGARC | CCARC | 2016-08-10,8.6
5,W0RSH,146.85,-,0.6,Tone,103.5,88.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | W0RSH | CCARC | Please help us confirm this repeater!,8.6
6,K0IRP,447.35,-,5,Tone,151.4,88.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | GGARC | CCARC | Please help us confirm this repeater!,8.9
7,W0MOG,927.8,-,25,DTCS,88.5,88.5,116,23,NN,FM,5,Teller | OPEN | On-Air | CCARC | Please help us confirm this repeater!,8.9
8,AA0L,448.3,-,5,Tone,100,88.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | AA0L | CCARC | 2016-08-10,8.9
9,,449.575,-,5,,88.5,88.5,23,23,NN,FM,5,El Paso | CLOSED | On-Air | RMHARC | CCARC | 2016-08-10,8.9
10,W0MOG,448.6,-,5,Tone,114.8,88.5,23,23,NN,FM,5,El Paso | OPEN | W0MOG | CCARC | Please help us confirm this repeater!,8.9
11,N0KG,448.25,-,5,Tone,123,88.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | CCARC | Please help us confirm this repeater!,8.9
12,KB0SRJ,224.06,-,1.6,,88.5,88.5,23,23,NN,FM,5,El Paso | CLOSED | Pikes Peak FM Association (PPFMA) | CCARC | Please help us confirm this repeater!,8.9
13,KF0WF,447.025,-,5,Tone,123,88.5,23,23,NN,FM,5,El Paso | OPEN | Off-Air | Colorado Springs ARA | CCARC | 2016-08-10,8.9
14,WA6IFI,447.55,-,5,Tone,123,88.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | WA6IFI | CCARC | 2015-11-13,8.9
15,NX0G,447.475,-,5,Tone,107.2,88.5,23,23,NN,FM,5,El Paso | OPEN | Mountain ARC (MARC) | CCARC | Please help us confirm this repeater!,8.9
