Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Features,Web links,Coordination,Last update,Downlink Tone,Sponsor,Links,Nets,DMR Enabled,Color Code,Wide Network,Affiliate,On-air,Notes,Talkgroup Network,Talkgroups,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,Colorado,Southern Colorado,Grid,AllStar,EchoLink,IRLP,Commands,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Location Photo,Feed,Denver Regional,Northern Colorado,YSF Digital Enabled,DG-ID,Local/Cluster,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,string,7.9,SSW,string,147.15,147.75,100,La Plata,On-Air,Bayfield,E-power.,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,string,12.7,NW,string,147.345,147.945,88.5,La Plata,On-Air,Durango and north towards Molas Divide.,undefined,undefined,CCARC,string,123,Colorado Connection,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,string,14.2,NW,string,445.1375,440.1375,string,La Plata,On-Air,undefined,undefined,http://www.rmham.org/,CCARC,string,undefined,K2AD,undefined,undefined,string,7,string,Rocky Mountain Ham Radio,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,string,14.7,NW,string,146.7,146.1,100,La Plata,On-Air,Local.,9,http://durangoarc.org/,CCARC,string,100,Durango ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,string,15.8,WNW,string,448.625,443.625,131.8,La Plata,undefined,Wide area.,undefined,undefined,CCARC,string,131.8,KC5EVE,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.85,-5,100,K0EP,Durango,CO,OPEN,string,15.9,WNW,string,449.85,444.85,100,La Plata,On-Air,undefined,undefined,undefined,CCARC,string,100,DARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,string,17.1,W,string,147.135,147.735,100,La Plata,On-Air,undefined,undefined,http://www.sjcham.com,CCARC,string,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,string,23.6,SW,string,147.06,147.66,100,San Juan,On-Air,undefined,undefined,undefined,NMFCC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,string,24.2,WNW,string,145.37,144.77,100,La Plata,On-Air,undefined,E-power.,http://www.sjcham.com,CCARC,string,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,string,26.2,WNW,string,146.67,146.07,100,La Plata,On-Air,Wide area.,11,DARC Repeaters,CCARC,string,undefined,Durango ARC,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",undefined,undefined,undefined,undefined,undefined,undefined,Linked active in the summer months only.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
