Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Features,Links,Coordination,Last update,Sponsor,Coverage,On-air,Nets,Downlink Tone,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,Local/Cluster,Notes,Feed,Web links,Affiliate,EchoLink,IRLP,Colorado,Southern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Denver Regional,Northern Colorado,Location Photo,Grid,Commands,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Wyoming,WyLOCAL,Europe,Southwest USA
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,0,ESE,,927.8,902.8,D116,Teller,On-Air,6,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,0,ESE,,449.575,444.575,,El Paso,On-Air,,,CCARC,,RMHARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,0,ESE,,447.35,442.35,151.4,El Paso,On-Air,E-power.,,CCARC,,GGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,0,ESE,,447.025,442.025,123,El Paso,Off-Air,"Closed autopatch, e-power, linked, remote base.",,CCARC,,Colorado Springs ARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,0,ESE,,448.25,443.25,123,El Paso,On-Air,,,CCARC,,,Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,0,ESE,,447.475,442.475,107.2,El Paso,,"Closed autopatch, e-power.","Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",CCARC,,Mountain ARC (MARC),,Unknown,MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,0,ESE,,224.06,222.46,,El Paso,,"E-power, linked.",,CCARC,,Pikes Peak FM Association (PPFMA),Wide area.,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,0,ESE,,448.3,443.3,100,El Paso,On-Air,,,CCARC,,AA0L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,0,ESE,,447.55,442.55,123,El Paso,On-Air,,,CCARC,,WA6IFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,0,ESE,,448.6,443.6,114.8,El Paso,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",CCARC,,W0MOG,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
