Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Coordination,Last update,Downlink Tone,Coverage,Features,D-STAR Enabled,Node,Sources,Notes,Web links,EchoLink,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Nets,Colorado,Northern Colorado,Links,Worldwide English,DCI Bridge,Affiliate,Commands,Mountain Reg USA,YSF Digital Enabled,DG-ID,Mixed-Mode,IRLP,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Grid,On-air,Wyoming,WyLOCAL,P25 Digital Enabled,NAC,Default Reflector,AllStar,Feed,WIRES-X,Southern Colorado,Denver Regional,Location Photo
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,0,ESE,,447.725,442.725,131.8,Larimer,On-Air,W7RF,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.925,-25,D114,W7RF,Fort Collins,CO,OPEN,,0,ESE,,927.925,902.925,D114,Larimer,Testing,W7RF,CCARC,,D114,"Fort Collins, Loveland, Northern Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,0,ESE,,449.85,444.85,100,Larimer,On-Air,CO State Univ ARC,CCARC,,100,Map,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,0.7,SW,,446.8125,441.8125,,Larimer,On-Air,W0QEY CSU,CCARC,,,Fort Collins Local Area,D-Star Gateway,,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",Free Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,1.1,SSE,,147.36,147.96,100,Larimer,On-Air,CO State Univ ARC,CCARC,,100,Map,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,5.8,SW,,1283.55,1263.55,100,Larimer,On-Air,K1TJ Repeater System,CCARC,,,Northern Colorado Front Range,,,,,,http://www.k1tj.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,5.8,SW,,447.45,442.45,123,Larimer,On-Air,,CCARC,,,,,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,5.8,SW,,446.7375,441.7375,,Larimer,On-Air,N0AOL - NoCo C-Bridge Network,CCARC,,,Wide area: North Front Range.,DMR-MARC World Wide Network,,,,Repeater ID: 310803,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,,,2,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,1,2,2,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,5.9,WSW,,446.75,441.75,,Larimer,On-Air,Rocky Mountain Ham Radio,CCARC,,,,,,,,See website for complete info on color codes/time slot assignment.,http://www.rmham.org,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,2,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,5.9,WSW,,145.265,144.665,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,CCARC,,,Northern Colorado Front Range Wide Area coverage.,,,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",http://www.w0dmr.org/,,,2,,BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,,,2,2,,2,,,1,1,Brandmeister Network,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,,,,,,,,,,
