Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,IRLP,Last update,Downlink Tone,Sponsor,Affiliate,Notes,Coordination,Features,Links,AllStar,EchoLink,Nets,D-STAR Enabled,Node,Sources,Web links,P25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,WIRES-X,Grid,Feed,Commands,Mixed-Mode,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Southern Colorado,Denver Regional,Colorado,Northern Colorado,On-air,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,Local/Cluster,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,English,Worldwide English,Location Photo,Wyoming,WyLOCAL,Europe,Southwest USA
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,I,3.2,NNW,string,448.7,443.7,146.2,Douglas,On-Air,Local North Parker only,3415,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,string,4.3,WSW,string,447.525,442.525,203.5,Douglas,On-Air,"Denver metropolitan area, front range foothills",undefined,string,146.2,EmComm Colorado,Colorado ARES,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,string,6.2,N,string,145.4,144.6,100,Arapahoe,On-Air,Greater Denver area.,undefined,string,undefined,Castle Rock Repeater Group,undefined,undefined,CCARC,"Autopatch, e-power.","Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,7.2,NNE,string,449.425,444.425,D023,Arapahoe,Off-Air,string,undefined,string,D023,K0PWO,undefined,Colorado SNP (Shared non-protected pair),undefined,undefined,undefined,29791,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,7.6,N,string,145.19,144.59,151.4,Arapahoe,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",undefined,string,131.8,N0OBA,undefined,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",undefined,Autopatch (please contact trustee).,undefined,undefined,10079,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,string,7.8,WSW,string,449.95,444.95,77,Douglas,On-Air,Primarily to the North along I-25 corridor,undefined,string,77,W9SL Owner,undefined,undefined,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.85,-5,string,K0PRA,Franktown,CO,OPEN,string,9.8,SSE,string,446.85,441.85,undefined,Douglas,On-Air,string,undefined,string,undefined,Parker Radio Association,undefined,undefined,CCARC,D-Star B module,undefined,undefined,undefined,undefined,string,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",http://parkerradio.org,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,string,10.3,ESE,string,927.8375,902.025,undefined,Douglas,On-Air,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,undefined,string,undefined,undefined,undefined,"Offset is -25.8125 
In Nac 294 Out Nac 293",CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,294,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,string,12.6,NNW,string,449.15,444.15,undefined,Arapahoe,On-Air,undefined,undefined,string,undefined,Colorado Amateur Repeater Network (CARN),undefined,undefined,CCARC,undefined,undefined,undefined,undefined,undefined,string,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.225,-5,141.3,AB0BX,"Highlands Ranch, STEM School",CO,OPEN,EA,12.9,WNW,string,447.225,442.225,141.3,Douglas,Off-Air,8,undefined,string,141.3,undefined,undefined,undefined,CCARC,"AllStar, EchoLink, 25ft",undefined,41967,373051,Amateur Satellite net 7PM MST thursday,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
